workload,compaction_style,config,rocksdb.number.keys.written,rocksdb.bytes.written,rocksdb.compact.write.bytes,rocksdb.flush.write.bytes,rocksdb.wal.bytes,rocksdb.write.wal,WAF,latency,throughput_ops,throughput_bytes
fillrandom,leveled,perf,100000,1641700000,141354496,823240788,0,0,0.5875588012426144,171.493,5831.0,91.2
overwrite,fifo,stable,100000,1641700000,0,856930432,1641700000,100000,0.5219774818785405,133.894,7468.0,116.8
fillrandom,leveled,stable,100000,1641700000,1063040346,823101149,1641700000,100000,1.1488953493330085,224.795,4448.0,69.6
fillrandom,fifo,perf,100000,1641700000,0,822797396,0,0,0.5011862069805689,131.218,7620.0,119.2
fillrandom,universal,stable,100000,1641700000,1002593258,822519262,1641700000,100000,1.1117210939879394,243.944,4099.0,64.1
overwrite,universal,stable,100000,1641700000,1001390441,822601511,1641700000,100000,1.1110385283547541,249.902,4001.0,62.6
overwrite,fifo,perf,100000,1641700000,0,822333524,0,0,0.5009036510933789,146.222,6838.0,107.0
readwhilewriting,fifo,stable,3419,56129723,0,0,56129723,3419,0.0,1.094,3652834.0,845.6
fillrandom,universal,perf,100000,1641700000,303681536,858545886,0,0,0.7079414156057745,269.884,3705.0,58.0
readwhilewriting,universal,stable,5113,83940121,0,0,83940121,5113,0.0,1.718,2325338.0,755.4
overwrite,universal,perf,100000,1641700000,320281088,858279646,0,0,0.7178904391788999,264.573,3779.0,59.1
readwhilewriting,universal,perf,8035,131910595,0,35846789,0,0,0.2717506429259909,1.884,456796.0,305.0
overwrite,leveled,stable,100000,1641700000,1085882756,822364925,1641700000,100000,1.162360772979229,257.715,3880.0,60.7
fillrandom,fifo,stable,100000,1641700000,0,822837515,1641700000,100000,0.5012106444539197,119.717,8352.0,130.6
readwhilewriting,fifo,perf,8035,131910595,0,35756165,0,0,0.2710636321517616,1.626,382796.0,252.0
readwhilewriting,leveled,perf,8035,131910595,0,35947141,0,0,0.27251140061948775,1.538,401648.0,261.0
readwhilewriting,leveled,stable,3527,57902759,0,0,57902759,3527,0.0,1.09,3666092.0,858.4
overwrite,leveled,perf,100000,1641700000,168217600,822098004,0,0,0.6032256831333374,201.758,4956.0,77.5
