workload,compaction_style,value_size,max_bytes_for_level_multiplier,rocksdb.number.keys.written,rocksdb.bytes.written,rocksdb.compact.write.bytes,rocksdb.flush.write.bytes,rocksdb.wal.bytes,rocksdb.write.wal
overwrite,0,4096,20,100000,412800000,75852870,172397132,412800000,100000
fillrandom,0,1024,10,,,,,,
fillrandom,0,16384,10,,,,,,
overwrite,0,16384,20,100000,1641700000,1021263784,822019402,1641700000,100000
fillrandom,0,16384,20,100000,1641700000,1022178759,823271644,1641700000,100000
fillrandom,0,16384,4,,,,,,
overwrite,0,16384,10,,,,,,
fillrandom,0,4096,10,,,,,,
fillrandom,0,256,4,,,,,,
overwrite,0,4096,4,,,,,,
fillrandom,0,256,10,,,,,,
overwrite,0,1024,4,,,,,,
overwrite,0,16384,4,,,,,,
overwrite,0,256,20,100000,28800000,0,0,28800000,100000
fillrandom,0,1024,20,100000,105600000,0,0,105600000,100000
fillrandom,0,256,20,100000,28800000,0,0,28800000,100000
overwrite,0,1024,10,,,,,,
fillrandom,0,4096,4,,,,,,
fillrandom,0,4096,20,100000,412800000,75854129,172572286,412800000,100000
overwrite,0,256,10,,,,,,
overwrite,0,4096,10,,,,,,
overwrite,0,256,4,,,,,,
overwrite,0,1024,20,100000,105600000,0,0,105600000,100000
fillrandom,0,1024,4,,,,,,
