workload,compaction_style,value_size,max_bytes_for_level_multiplier,rocksdb.number.keys.written,rocksdb.bytes.written,rocksdb.compact.write.bytes,rocksdb.flush.write.bytes,rocksdb.wal.bytes,rocksdb.write.wal
overwrite,0,4096,20,1000000,4128000000,3876164853,2264551781,4128000000,1000000
fillrandom,0,1024,10,1000000,1056000000,532065061,554231834,1056000000,1000000
fillrandom,0,16384,10,1000000,16417000000,26808615703,8996537425,16417000000,1000000
overwrite,0,16384,20,1000000,16417000000,26975184186,8996918853,16417000000,1000000
fillrandom,0,16384,20,1000000,16417000000,28859522575,8996966203,16417000000,1000000
fillrandom,0,16384,4,1000000,16417000000,26312224465,8997182632,16417000000,1000000
overwrite,0,16384,10,1000000,16417000000,27856641055,8996908575,16417000000,1000000
fillrandom,0,4096,10,1000000,4128000000,3668790542,2264613878,4128000000,1000000
overwrite,0,4096,4,1000000,4128000000,3778744523,2301775935,4128000000,1000000
overwrite,0,1024,4,1000000,1056000000,581516485,554180812,1056000000,1000000
overwrite,0,16384,4,1000000,16417000000,26371740694,8996164758,16417000000,1000000
fillrandom,0,1024,20,1000000,1056000000,573779355,554231337,1056000000,1000000
overwrite,0,1024,10,1000000,1056000000,581280026,554114156,1056000000,1000000
fillrandom,0,4096,4,1000000,4128000000,3961650233,2263893245,4128000000,1000000
fillrandom,0,4096,20,1000000,4128000000,3812224142,2264247445,4128000000,1000000
overwrite,0,4096,10,1000000,4128000000,3727609108,2301265466,4128000000,1000000
overwrite,0,1024,20,1000000,1056000000,584544657,554146613,1056000000,1000000
fillrandom,0,1024,4,1000000,1056000000,518053266,554174033,1056000000,1000000
