Ops Sequence
100
200
300
400
500
600
700
800
900
1000
1500
2000
2500
3000
3500
4000
4500
5000
6000
7000
8000
9000
10000
15000
20000
25000
30000
35000
40000
45000
50000
60000
70000
80000
90000
100000

Stat Name,Count
rocksdb.block.cache.miss,0
rocksdb.block.cache.hit,0
rocksdb.block.cache.add,0
rocksdb.block.cache.add.failures,0
rocksdb.block.cache.index.miss,0
rocksdb.block.cache.index.hit,0
rocksdb.block.cache.index.add,0
rocksdb.block.cache.index.bytes.insert,0
rocksdb.block.cache.filter.miss,0
rocksdb.block.cache.filter.hit,0
rocksdb.block.cache.filter.add,0
rocksdb.block.cache.filter.bytes.insert,0
rocksdb.block.cache.data.miss,0
rocksdb.block.cache.data.hit,0
rocksdb.block.cache.data.add,0
rocksdb.block.cache.data.bytes.insert,0
rocksdb.block.cache.bytes.read,0
rocksdb.block.cache.bytes.write,0
rocksdb.block.cache.compression.dict.miss,0
rocksdb.block.cache.compression.dict.hit,0
rocksdb.block.cache.compression.dict.add,0
rocksdb.block.cache.compression.dict.bytes.insert,0
rocksdb.block.cache.add.redundant,0
rocksdb.block.cache.index.add.redundant,0
rocksdb.block.cache.filter.add.redundant,0
rocksdb.block.cache.data.add.redundant,0
rocksdb.block.cache.compression.dict.add.redundant,0
rocksdb.secondary.cache.hits,0
rocksdb.secondary.cache.filter.hits,0
rocksdb.secondary.cache.index.hits,0
rocksdb.secondary.cache.data.hits,0
rocksdb.compressed.secondary.cache.dummy.hits,0
rocksdb.compressed.secondary.cache.hits,0
rocksdb.compressed.secondary.cache.promotions,0
rocksdb.compressed.secondary.cache.promotion.skips,0
rocksdb.bloom.filter.useful,0
rocksdb.bloom.filter.full.positive,0
rocksdb.bloom.filter.full.true.positive,0
rocksdb.bloom.filter.prefix.checked,0
rocksdb.bloom.filter.prefix.useful,0
rocksdb.bloom.filter.prefix.true.positive,0
rocksdb.persistent.cache.hit,0
rocksdb.persistent.cache.miss,0
rocksdb.sim.block.cache.hit,0
rocksdb.sim.block.cache.miss,0
rocksdb.memtable.hit,0
rocksdb.memtable.miss,0
