workload,compaction_style,config,rocksdb.number.keys.written,rocksdb.bytes.written,rocksdb.compact.write.bytes,rocksdb.flush.write.bytes,rocksdb.wal.bytes,rocksdb.write.wal
fillrandom,0,perf,100000,1641700000,141354496,823240788,0,0
overwrite,2,stable,100000,1641700000,0,856930432,1641700000,100000
fillrandom,0,stable,100000,1641700000,1063040346,823101149,1641700000,100000
fillrandom,2,perf,100000,1641700000,0,822797396,0,0
fillrandom,1,stable,100000,1641700000,1002593258,822519262,1641700000,100000
overwrite,1,stable,100000,1641700000,1001390441,822601511,1641700000,100000
overwrite,2,perf,100000,1641700000,0,822333524,0,0
readwhilewriting,2,stable,3419,56129723,0,0,56129723,3419
fillrandom,1,perf,100000,1641700000,303681536,858545886,0,0
readwhilewriting,1,stable,5113,83940121,0,0,83940121,5113
overwrite,1,perf,100000,1641700000,320281088,858279646,0,0
readwhilewriting,1,perf,8035,131910595,0,35846789,0,0
overwrite,0,stable,100000,1641700000,1085882756,822364925,1641700000,100000
fillrandom,2,stable,100000,1641700000,0,822837515,1641700000,100000
readwhilewriting,2,perf,8035,131910595,0,35756165,0,0
readwhilewriting,0,perf,8035,131910595,0,35947141,0,0
readwhilewriting,0,stable,3527,57902759,0,0,57902759,3527
overwrite,0,perf,100000,1641700000,168217600,822098004,0,0
