workload,compaction_style,value_size,max_bytes_for_level_base,rocksdb.number.keys.written,rocksdb.bytes.written,rocksdb.compact.write.bytes,rocksdb.flush.write.bytes,rocksdb.wal.bytes,rocksdb.write.wal,WAF,latency,throughput_ops,throughput_bytes
overwrite,leveled,4KB,64MB,1000000,4128000000,3624640394,2264460227,4128000000,1000000,2.4266232124515503,56.711,17633.0,69.1
overwrite,leveled,4KB,256MB,1000000,4128000000,3926898292,2301346485,4128000000,1000000,2.5087802269864343,65.895,15175.0,59.5
fillrandom,leveled,16KB,512MB,1000000,16417000000,36052092660,8996302229,16417000000,1000000,3.744008947371627,437.744,2284.0,35.7
overwrite,leveled,4KB,512MB,1000000,4128000000,4394162603,2301497226,4128000000,1000000,2.62201061749031,68.297,14641.0,57.4
overwrite,leveled,1KB,512MB,1000000,1056000000,578140401,554188512,1056000000,1000000,2.0722811676136366,17.691,56527.0,56.1
fillrandom,leveled,4KB,256MB,1000000,4128000000,4003270522,2301632341,4128000000,1000000,2.527350499757752,57.195,17484.0,68.6
fillrandom,leveled,1KB,64MB,1000000,1056000000,657101850,554147546,1056000000,1000000,2.1470164734848485,16.308,61319.0,60.8
fillrandom,leveled,1KB,512MB,1000000,1056000000,588671433,554175641,1056000000,1000000,2.082241547348485,16.58,60312.0,59.8
fillrandom,leveled,1KB,256MB,1000000,1056000000,612860902,554235912,1056000000,1000000,2.1052053162878788,15.947,62707.0,62.2
fillrandom,leveled,16KB,64MB,1000000,16417000000,27054478941,8996874388,16417000000,1000000,3.1959769342145337,373.762,2675.0,41.8
fillrandom,leveled,4KB,512MB,1000000,4128000000,4390431402,2301548443,4128000000,1000000,2.621119148498062,58.202,17181.0,67.4
overwrite,leveled,16KB,512MB,1000000,16417000000,35711830951,8997355246,16417000000,1000000,3.723346908509472,471.106,2122.0,33.2
overwrite,leveled,1KB,64MB,1000000,1056000000,616212692,554147906,1056000000,1000000,2.1082960208333335,17.641,56684.0,56.2
fillrandom,leveled,16KB,256MB,1000000,16417000000,29512061896,8997147451,16417000000,1000000,3.3456910121824937,468.074,2136.0,33.4
overwrite,leveled,16KB,64MB,1000000,16417000000,28758806652,9033100267,16417000000,1000000,3.301998350429433,409.45,2442.0,38.2
overwrite,leveled,1KB,256MB,1000000,1056000000,586670980,554101456,1056000000,1000000,2.080276928030303,17.173,58230.0,57.8
fillrandom,leveled,4KB,64MB,1000000,4128000000,3625923549,2264390085,4128000000,1000000,2.4269170625,75.279,13283.0,52.1
overwrite,leveled,16KB,256MB,1000000,16417000000,28906731543,8996900767,16417000000,1000000,3.3088038198209175,392.455,2548.0,39.9
