workload,compaction_style,config,rocksdb.number.keys.written,rocksdb.bytes.written,rocksdb.compact.write.bytes,rocksdb.flush.write.bytes,rocksdb.wal.bytes,rocksdb.write.wal,rocksdb.write.raw.input.bytes,fillrandom_latency_us,fillrandom_throughput_ops,fillrandom_throughput_bytes,overwrite_latency_us,overwrite_throughput_ops,overwrite_throughput_bytes,readwhilewriting_latency_us,readwhilewriting_throughput_ops,readwhilewriting_throughput_bytes,read_latency_us,read_throughput_ops,read_throughput_bytes
fillrandom,0,perf,100000,1641700000,198908928,822552660,0,0,,227.39,4397.0,68.8,,,,,,,,,
overwrite,2,stable,100000,1641700000,0,822842964,1641700000,100000,,,,,168.393,5938.0,92.9,,,,,,
fillrandom,0,stable,100000,1641700000,197796352,822624340,1641700000,100000,,220.143,4542.0,71.0,,,,,,,,,
fillrandom,2,perf,100000,1641700000,0,821753428,0,0,,140.064,7139.0,111.7,,,,,,,,,
fillrandom,1,stable,100000,1641700000,328594432,858172126,1641700000,100000,,317.959,3145.0,49.2,,,,,,,,,
overwrite,1,stable,100000,1641700000,314506240,858797790,1641700000,100000,,,,,277.565,3602.0,56.3,,,,,,
overwrite,2,perf,100000,1641700000,0,822334036,0,0,,,,,144.786,6906.0,108.0,,,,,,
readwhilewriting,2,stable,3416,56080472,0,0,56080472,3416,,,,,,,,0.548,1822755.0,433.0,0.548,1822755.0,433.0
fillrandom,1,perf,100000,1641700000,334981632,858725086,0,0,,319.701,3127.0,48.9,,,,,,,,,
readwhilewriting,1,stable,3625,59511625,0,0,59511625,3625,,,,,,,,0.56,1782404.0,444.9,0.56,1782404.0,444.9
overwrite,1,perf,100000,1641700000,357729792,858651358,0,0,,,,,304.172,3287.0,51.4,,,,,,
readwhilewriting,1,perf,8035,131910595,0,35656325,0,0,,,,,,,,0.817,191050.0,121.3,0.817,191050.0,121.3
overwrite,0,stable,100000,1641700000,190411776,822870100,1641700000,100000,,,,,243.89,4100.0,64.1,,,,,,
fillrandom,2,stable,100000,1641700000,0,822660180,1641700000,100000,,153.428,6517.0,101.9,,,,,,,,,
readwhilewriting,2,perf,8035,131910595,0,35801733,0,0,,,,,,,,0.813,198442.0,127.3,0.813,198442.0,127.3
readwhilewriting,0,perf,8035,131910595,0,35746949,0,0,,,,,,,,0.786,174008.0,111.1,0.786,174008.0,111.1
readwhilewriting,0,stable,3629,59577293,0,0,59577293,3629,,,,,,,,0.572,1744561.0,430.8,0.572,1744561.0,430.8
overwrite,0,perf,100000,1641700000,221537792,822506068,0,0,,,,,254.548,3928.0,61.4,,,,,,
