workload,compaction_style,config,rocksdb.number.keys.written,rocksdb.bytes.written,rocksdb.compact.write.bytes,rocksdb.flush.write.bytes,rocksdb.wal.bytes,rocksdb.write.wal,WAF,latency,throughput_ops,throughput_bytes
fillrandom,fifo,perf_4096,500000,2064000000,0,1104517339,0,0,0.5351343696705426,10.955,91279.0,358.0
overwrite,universal,stable_4096,500000,2064000000,874169405,1104783902,2064000000,500000,0.958795206879845,38.76,25697.0,100.8
overwrite,fifo,perf_4096,500000,2064000000,0,1104125169,0,0,0.5349443648255814,12.586,79450.0,311.6
overwrite,leveled,stable_4096,500000,2064000000,928642689,1104800027,2064000000,500000,0.9851951143410853,33.234,30046.0,117.8
fillrandom,universal,perf_4096,500000,2064000000,938107994,1104751825,0,0,0.9897576642441861,27.459,36406.0,142.8
overwrite,leveled,perf_4096,500000,2064000000,899581983,1104972461,0,0,0.9711988585271318,25.775,38797.0,152.1
overwrite,universal,perf_4096,500000,2064000000,937020799,1104694067,0,0,0.9892029389534883,29.564,33825.0,132.6
fillrandom,fifo,stable_4096,500000,2064000000,0,1104514199,2064000000,500000,0.5351328483527131,18.277,54712.0,214.6
overwrite,fifo,stable_4096,500000,2064000000,0,1104760479,2064000000,500000,0.5352521700581395,19.996,50010.0,196.1
fillrandom,leveled,stable_4096,500000,2064000000,909146688,1104605088,2064000000,500000,0.9756549302325581,32.67,30565.0,119.9
fillrandom,universal,stable_4096,500000,2064000000,948039261,1105095275,2064000000,500000,0.9947357248062015,30.982,32249.0,126.5
