trial,work,hot_compaction,cold_compaction,time(s),hot_column_key,default_column_key,rocksdb.flush.write.bytes,rocksdb.compact.write.bytes,rocksdb.bytes.written,rocksdb.number.keys.read,rocksdb.bytes.read,rocksdb.block.cache.hit,rocksdb.block.cache.miss,rocksdb.memtable.hit,rocksdb.memtable.miss,rocksdb.db.get.micros,rocksdb.db.write.micros,rocksdb.db.seek.micros,get.P50,get.P95,get.P99,get.P100,get.COUNT,get.SUM,get.AVG,write.P50,write.P95,write.P99,write.P100,write.COUNT,write.SUM,write.AVG
3,read,universal,universal,205.176,0,0,0,3070759,0,1000000,10347282432,1321139,2462473,0,1000000,0,0,0,47.947409,1199.967626,3433.098316,94264.0,1000000,200131914,200.131914,0.0,0.0,0.0,0.0,0,0,0
3,read,level,universal,325.054,0,0,0,6365182,0,1000000,10342875136,729748,4327180,0,1000000,0,0,0,86.963071,2124.00888,4371.571649,75500.0,1000000,318825792,318.825792,0.0,0.0,0.0,0.0,0,0,0
1,write,universal,level,376.56,88674,543638,812032160,3025443077,16407028307,1911326,10359799808,6267022,4942665,3751,1907575,0,0,0,9.189578,1077.542745,2738.6564,254117.0,1911326,286588101,149.94203029729098,24.990465,195.160126,9434.827834,1417946.0,1000000,355701353,355.701353
1,write,universal,universal,369.122,88723,543583,811904197,1728629039,16407028576,1911277,10359701504,3557411,3353573,3737,1907540,0,0,0,5.971998,1149.962222,2891.181889,195343.0,1911277,315740018,165.1984605057247,29.417361,168.001056,8140.919781,1611209.0,1000000,343088677,343.088677
1,read,universal,level,221.967,0,0,0,17890583,0,1000000,10339631104,1152497,2426696,0,1000000,0,0,0,44.190713,1294.47399,3689.36988,429383.0,1000000,217214343,217.214343,0.0,0.0,0.0,0.0,0,0,0
1,read,universal,universal,272.256,0,0,0,3058824,0,1000000,10329849856,1301229,3178043,0,1000000,0,0,0,66.497526,1743.978735,4341.108247,87072.0,1000000,265745456,265.745456,0.0,0.0,0.0,0.0,0,0,0
2,read,level,level,338.783,0,0,0,3082009,0,1000000,10336485376,1274655,2419833,0,1000000,0,0,0,53.249548,2320.700928,4368.324817,276028.0,1000000,333956024,333.956024,0.0,0.0,0.0,0.0,0,0,0
3,write,level,universal,328.092,89166,543019,812017703,1778731487,16407028915,1910834,10357719040,7738345,3382861,3732,1907102,0,0,0,9.234759,1183.528381,2805.634063,103851.0,1910834,281421927,147.27701464386755,25.294651,157.283748,8066.856404,1313464.0,1000000,308830323,308.830323
1,write,level,level,89.41,88655,543998,812049935,2933129521,16407028810,1911345,10365386752,3797924,4821893,3746,1907599,0,0,0,1.758832,318.512141,592.456233,30969.0,1911345,77437216,40.51451517125375,8.726167,32.669809,2003.152655,299756.0,1000000,85957553,85.957553
2,read,level,universal,236.639,0,0,0,3052094,0,1000000,10349887488,1334103,3348536,0,1000000,0,0,0,66.135427,1295.76757,3700.713681,60645.0,1000000,230762218,230.762218,0.0,0.0,0.0,0.0,0,0,0
