trial,work,hot_compaction,cold_compaction,time(s),hot_column_key,default_column_key,rocksdb.flush.write.bytes,rocksdb.compact.write.bytes,rocksdb.bytes.written,rocksdb.number.keys.read,rocksdb.bytes.read,rocksdb.block.cache.hit,rocksdb.block.cache.miss,rocksdb.memtable.hit,rocksdb.memtable.miss,rocksdb.db.get.micros,rocksdb.db.write.micros,rocksdb.db.seek.micros,rocksdb.compaction.total.time.cpu_micros,get.P50,get.P95,get.P99,get.P100,get.COUNT,get.SUM,get.AVG,write.P50,write.P95,write.P99,write.P100,write.COUNT,write.SUM,write.AVG,WAF,RAF,cache_hit_ratio,memtable_hit_ratio,throughput,case
3,write,level,level,230.716,193887,250603,803700692,4848802592,16407311441,1806113,7282524160,5463709,7050007,3777,1802336,0,0,0,73143524,2.564519,11.392981,20.112287,804.0,1806113,8608731,4.766440970194002,8.575411,14.380769,29.787064,4538617.0,1000000,229110925,229.110925,0.34451124453425314,4.063337757879817,0.4366176282089189,0.002091231279548954,71114753.38077983,0
3,write,universal,level,268.855,193868,250184,803834193,3751794273,16407310871,1806132,7275347968,7655390,5699702,3780,1802352,0,0,0,56259276,3.065318,15.920499,29.454693,808.0,1806132,10323691,5.715911683088501,8.463245,14.143125,26.525009,4163063.0,1000000,267328410,267.32841,0.2776584476163059,4.067388504049076,0.5732188142170791,0.0020928702885503387,61026616.09789663,3
2,write,universal,level,290.198,193982,250544,803983344,3901581332,16407310588,1806018,7283113984,7383986,5862333,3775,1802243,0,0,0,57519898,3.264258,19.987719,33.355354,797.0,1806018,11225240,6.215464076216295,8.537124,14.453999,34.84707,4372253.0,1000000,288650252,288.650252,0.28679683064216277,4.0627949771216985,0.5574368245246094,0.0020902338736380256,56538331.029159404,3
2,read,level,universal,18.913,0,0,0,3093595,0,1000000,12653805568,1162824,2025128,0,1000000,0,0,0,0,9.452199,46.592771,62.517001,787.0,1000000,17727709,17.727709,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.2947883474227886,0.36475580560811455,0.0,0.0,2
4,write,universal,level,221.116,193978,250500,803903921,3796712352,16407311428,1806022,7282327552,7517332,5732856,4971,1801051,0,0,0,56186669,3.373302,20.127374,35.643018,769.0,1806022,11727071,6.493315696043569,8.639435,14.638072,33.528841,3407552.0,1000000,219547688,219.547688,0.280400374746882,4.063242725174249,0.5673377615472324,0.0027524581649614457,74202280.37772028,3
4,write,level,level,196.439,193939,250577,803789859,4855601295,16407310351,1806061,7282950144,4914125,7087445,3777,1802284,0,0,0,72173893,1.938029,13.286025,21.953603,192.0,1806061,8664684,4.797558886438498,8.5029,14.326217,28.019544,3125712.0,1000000,194959431,194.959431,0.34493107236525633,4.062983109719335,0.40945684606264016,0.0020912914901545405,83523691.07458295,0
1,write,universal,level,193.056,193814,250488,803888051,3799392866,16407311067,1806186,7279443968,6380691,5761089,3770,1802416,0,0,0,57280764,2.654851,15.889428,29.162702,818.0,1806186,9667905,5.352663014772565,8.573284,14.531181,36.239024,2910802.0,1000000,191435368,191.435368,0.2805627868090203,4.065221403459809,0.5255152868854485,0.002087271189124487,84987314.90862754,3
4,write,level,universal,207.012,193968,250191,804113783,3606647340,16407310862,1806032,7277101056,8631229,5526361,3777,1802255,0,0,0,55419550,3.386422,14.758983,22.661979,815.0,1806032,10633506,5.887772752642257,8.838353,14.715929,32.709138,3272334.0,1000000,205403609,205.403609,0.26882900922024355,4.066183506356958,0.609653832325982,0.002091325070652126,79257776.66029023,2
1,write,level,universal,234.981,194069,249944,803879736,3809431422,16407311406,1805931,7274708992,6406672,5781933,5030,1800901,0,0,0,57082035,3.00586,14.663067,21.908086,802.0,1805931,9546053,5.285945587068388,8.506973,14.352917,32.187801,4209739.0,1000000,233529423,233.529423,0.28117410853267255,4.067293074752316,0.5256279943438974,0.002785266989713339,69823991.75252467,2
2,read,universal,universal,26.274,0,0,0,3091042,0,1000000,12655804416,1163525,2930018,0,1000000,0,0,0,0,23.936973,47.698821,65.454706,834.0,1000000,24990799,24.990799,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.2945838495486433,0.2842342195990124,0.0,0.0,1
