work,hot,cold,trial,total_time(s),compaction_time(us),compaction_ratio,stall_flush_total(us),write_stall_count,compressed_from,compressed_to,flush_bytes,compact_bytes,reason,case
read,LZ4,Zlib,2,24.314,0,0.0,0,0,62018794,313573,0,334523,"Compaction was low, possibly due to low write or flush volume.",1
read,Snappy,ZSTD,1,11.83,0,0.0,0,0,61954404,832663,0,853594,"Compaction was low, possibly due to low write or flush volume.",6
read,none,ZSTD,2,21.091,1719046,81506.1401,0,0,36232737,121925,0,2114885947,,4
read,Snappy,Snappy,1,20.867,2914179,139654.9097,0,0,4069768137,200479868,0,201724887,,0
write,Snappy,Zlib,1,205.98,104748457,508537.0279,194618038,0,85258050781,3183367964,579596782,2630024822,"High stall/flush impact detected, possibly causing total time inflation.",5
write,Snappy,Zlib,3,251.382,109521071,435675.8678,239780213,0,89333834920,3349457628,582799400,2794161050,"High stall/flush impact detected, possibly causing total time inflation.",5
write,Snappy,Zlib,2,187.347,95773948,511211.5379,175258057,0,83380148594,3193305391,582735306,2636250077,"High stall/flush impact detected, possibly causing total time inflation.",5
write,Snappy,ZSTD,3,226.802,56868625,250741.2854,215012528,0,96023403936,3613994699,579075930,3064465116,"High stall/flush impact detected, possibly causing total time inflation.",6
read,Snappy,Snappy,2,18.913,0,0.0,0,0,62056292,3072628,0,3093595,"Compaction was low, possibly due to low write or flush volume.",0
read,Snappy,Zlib,1,30.8,0,0.0,0,0,127379361,3469842,0,3510695,"Compaction was low, possibly due to low write or flush volume.",5
write,none,ZSTD,1,682.836,37821314,55388.5765,641343197,0,18616239425,61045867,11290918829,29104514067,"High stall/flush impact detected, possibly causing total time inflation.",4
read,LZ4,ZSTD,2,13.21,0,0.0,0,0,62002442,282904,0,303849,"Compaction was low, possibly due to low write or flush volume.",2
write,none,ZSTD,2,514.429,38428826,74701.9044,499895037,0,18710525490,61398681,11291967997,28894184672,"High stall/flush impact detected, possibly causing total time inflation.",4
write,LZ4,ZSTD,2,207.475,42868919,206622.0942,194333868,0,93914789437,542418785,97793434,473493367,"High stall/flush impact detected, possibly causing total time inflation.",2
read,Snappy,Zlib,2,36.895,390020,10571.0801,0,0,170278609,1573250,0,1628218,,5
