work,hot,cold,trial,time(s),hot_column_key,default_column_key,rocksdb.flush.write.bytes,rocksdb.compact.write.bytes,rocksdb.bytes.written,rocksdb.number.keys.read,rocksdb.bytes.read,rocksdb.block.cache.hit,rocksdb.block.cache.miss,rocksdb.memtable.hit,rocksdb.memtable.miss,rocksdb.db.get.micros,rocksdb.db.write.micros,rocksdb.db.seek.micros,rocksdb.compaction.total.time.cpu_micros,rocksdb.bytes.compressed.from,rocksdb.bytes.compressed.to,get.P50,get.P95,get.P99,get.P100,get.COUNT,get.SUM,get.AVG,write.P50,write.P95,write.P99,write.P100,write.COUNT,write.SUM,write.AVG
read,LZ4,Zlib,2,24.314,679362,0,0,334523,0,1000000,12659818496,1141503,1696079,0,1000000,0,0,0,0,62018794,313573,8.688403,92.45293,107.570592,784.0,1000000,23208530,23.20853,0.0,0.0,0.0,0.0,0,0,0
read,Snappy,ZSTD,1,11.83,678638,0,0,853594,0,1000000,12656115712,1192057,1263358,0,1000000,0,0,0,0,61954404,832663,8.896087,18.084461,21.627374,768.0,1000000,10589710,10.58971,0.0,0.0,0.0,0.0,0,0,0
read,none,ZSTD,2,21.091,678608,0,0,2114885947,0,1000000,12643778560,658150,3730954,0,1000000,0,0,0,1719046,36232737,121925,16.50312,47.175926,66.397294,1768.0,1000000,19716978,19.716978,0.0,0.0,0.0,0.0,0,0,0
read,Snappy,Snappy,1,20.867,678600,0,0,201724887,0,1000000,12659474432,219891,2672206,0,1000000,0,0,0,2914179,4069768137,200479868,9.283244,50.832027,71.299575,796.0,1000000,19574484,19.574484,0.0,0.0,0.0,0.0,0,0,0
write,Snappy,Zlib,1,205.98,0,250961,579596782,2630024822,16407310193,1806052,7289389056,8307136,5395064,7755,1798297,0,0,0,104748457,85258050781,3183367964,2.013612,27.858383,44.965496,1053.0,1806052,14386003,7.965442301772042,8.427429,13.872257,18.192436,3397636.0,1000000,204604063,204.604063
write,Snappy,Zlib,3,251.382,0,250647,582799400,2794161050,16407310576,1806047,7284326400,6582383,5639556,3778,1802269,0,0,0,109521071,89333834920,3349457628,1.960597,23.997822,45.440049,798.0,1806047,13506835,7.478673035640822,8.403924,13.854018,20.905573,4207485.0,1000000,249943394,249.943394
write,Snappy,Zlib,2,187.347,0,250324,582735306,2636250077,16407311069,1806116,7277903872,5887314,5210088,3772,1802344,0,0,0,95773948,83380148594,3193305391,2.665865,27.745932,45.201586,793.0,1806116,12663682,7.0115551825021205,8.519034,14.146075,21.455537,3085047.0,1000000,185807323,185.807323
write,Snappy,ZSTD,3,226.802,0,250171,579075930,3064465116,16407311368,1805920,7278608384,5255702,5976683,3775,1802145,0,0,0,56868625,96023403936,3613994699,2.224221,13.405911,21.474886,783.0,1805920,7892066,4.370108310445645,8.396168,14.062344,31.633969,3796554.0,1000000,225267342,225.267342
read,Snappy,Snappy,2,18.913,678674,0,0,3093595,0,1000000,12653805568,1162824,2025128,0,1000000,0,0,0,0,62056292,3072628,9.452199,46.592771,62.517001,787.0,1000000,17727709,17.727709,0.0,0.0,0.0,0.0,0,0,0
read,Snappy,Zlib,1,30.8,678559,0,0,3510695,0,1000000,12659523584,738565,2086566,0,1000000,0,0,0,0,127379361,3469842,18.750786,95.811856,108.554649,889.0,1000000,29503313,29.503313,0.0,0.0,0.0,0.0,0,0,0
