work,hot,cold,trial,time(s),hot_column_key,default_column_key,rocksdb.flush.write.bytes,rocksdb.compact.write.bytes,rocksdb.bytes.written,rocksdb.number.keys.read,rocksdb.bytes.read,rocksdb.block.cache.hit,rocksdb.block.cache.miss,rocksdb.memtable.hit,rocksdb.memtable.miss,rocksdb.db.get.micros,rocksdb.db.write.micros,rocksdb.db.seek.micros,rocksdb.compaction.total.time.cpu_micros,rocksdb.bytes.compressed.from,rocksdb.bytes.compressed.to,get.P50,get.P95,get.P99,get.P100,get.COUNT,get.SUM,get.AVG,write.P50,write.P95,write.P99,write.P100,write.COUNT,write.SUM,write.AVG
write,ZSTD,ZSTD,1,215.989,0,250256,59110061,266389530,16407311946,1806121,7276707840,4620763,5853952,3777,1802344,0,0,0,46993481,94012927221,296601423,2.00461,9.808885,17.122193,800.0,1806121,6963421,3.8554565281063673,8.419907,14.090376,34.585866,3201283.0,1000000,214501770,214.50177
read,Snappy,Snappy,1,20.983,679106,0,0,11284192,0,1000000,12665978880,900816,2326121,0,1000000,0,0,0,117649,226474778,11212114,10.932704,49.788358,69.790461,830.0,1000000,19688107,19.688107,0.0,0.0,0.0,0.0,0,0,0
read,LZ4,LZ4,3,12.967,678509,0,0,442063,0,1000000,12658835456,1161771,2030310,0,1000000,0,0,0,0,61986262,421126,8.755086,29.7775,33.479661,845.0,1000000,11809587,11.809587,0.0,0.0,0.0,0.0,0,0,0
read,Zlib,Zlib,3,44.595,678529,0,0,3575178,0,1000000,12653854720,946497,2179057,0,1000000,0,0,0,2755123,813966804,3324276,20.250963,138.713836,164.138373,893.0,1000000,43271304,43.271304,0.0,0.0,0.0,0.0,0,0,0
read,Zlib,Zlib,1,59.309,679155,0,0,791502,0,1000000,12666486784,1251194,2883307,0,1000000,0,0,0,426540,179541720,733717,49.63483,136.344975,163.384182,936.0,1000000,58036462,58.036462,0.0,0.0,0.0,0.0,0,0,0
read,Snappy,Snappy,2,18.552,678309,0,0,3089355,0,1000000,12647743488,1206466,2021422,0,1000000,0,0,0,0,61973942,3068413,9.380357,45.6325,58.745987,831.0,1000000,17387750,17.38775,0.0,0.0,0.0,0.0,0,0,0
read,LZ4,LZ4,1,13.022,679645,0,0,442347,0,1000000,12671156224,1174693,2019593,0,1000000,0,0,0,0,62019153,421400,8.792951,29.873445,33.551465,798.0,1000000,11858636,11.858636,0.0,0.0,0.0,0.0,0,0,0
write,ZSTD,ZSTD,3,193.977,0,250372,59098541,266456545,16407310918,1806015,7280345088,4578971,5854806,3777,1802238,0,0,0,47262545,94029540110,296651831,1.992202,9.78896,16.279925,778.0,1806015,6951580,3.8491263915305245,8.492948,14.54595,43.080026,2757323.0,1000000,192408746,192.408746
read,ZSTD,ZSTD,3,13.242,678965,0,0,229370,0,1000000,12661014528,1162542,2024479,0,1000000,0,0,0,0,62035323,208416,8.830104,30.302283,33.800596,808.0,1000000,12021015,12.021015,0.0,0.0,0.0,0.0,0,0,0
write,LZ4,LZ4,3,230.968,0,250238,114564212,533629708,16407310709,1806039,7277756416,4558061,5853549,3774,1802265,0,0,0,41746725,94015582666,619295371,1.969052,9.721859,14.902624,830.0,1806039,6755277,3.7403826827659867,8.472808,14.385077,38.099007,3296950.0,1000000,229507332,229.507332
write,Zlib,Zlib,1,269.385,0,250176,71085690,231839189,16407310381,1806062,7276363776,8990746,4630137,3775,1802287,0,0,0,215794999,73458509677,280316251,3.569948,33.702804,65.964712,855.0,1806062,18866359,10.446130310033654,8.398179,13.717585,14.999135,4004024.0,1000000,267950709,267.950709
read,ZSTD,ZSTD,1,13.525,678165,0,0,229434,0,1000000,12644253696,1147939,2037794,0,1000000,0,0,0,0,62035253,208480,8.99783,30.85012,36.621833,804.0,1000000,12276069,12.276069,0.0,0.0,0.0,0.0,0,0,0
read,LZ4,LZ4,2,13.695,678327,0,0,22565841,0,1000000,12657459200,267084,2477377,0,1000000,0,0,0,1734739,3313608696,21554103,5.858947,31.786798,41.177513,817.0,1000000,12432561,12.432561,0.0,0.0,0.0,0.0,0,0,0
