work,hot,cold,trial,time(s),hot_column_key,default_column_key,rocksdb.flush.write.bytes,rocksdb.compact.write.bytes,rocksdb.bytes.written,rocksdb.number.keys.read,rocksdb.bytes.read,rocksdb.block.cache.hit,rocksdb.block.cache.miss,rocksdb.memtable.hit,rocksdb.memtable.miss,rocksdb.db.get.micros,rocksdb.db.write.micros,rocksdb.db.seek.micros,rocksdb.compaction.total.time.cpu_micros,rocksdb.bytes.compressed.from,rocksdb.bytes.compressed.to,get.P50,get.P95,get.P99,get.P100,get.COUNT,get.SUM,get.AVG,write.P50,write.P95,write.P99,write.P100,write.COUNT,write.SUM,write.AVG,WAF,RAF,cache_hit_ratio,memtable_hit_ratio,throughput,compression_ratio,case
read,LZ4,Zlib,2,24.314,679362,0,0,334523,0,1000000,12659818496,1141503,1696079,0,1000000,0,0,0,0,62018794,313573,8.688403,92.45293,107.570592,784.0,1000000,23208530,23.20853,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.2941733726416926,0.40228018080182354,0.0,0.0,0.5056096382654587,1
read,Snappy,ZSTD,1,11.83,678638,0,0,853594,0,1000000,12656115712,1192057,1263358,0,1000000,0,0,0,0,61954404,832663,8.896087,18.084461,21.627374,768.0,1000000,10589710,10.58971,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.2945520073323427,0.4854808657599632,0.0,0.0,1.3439932373491963,6
read,none,ZSTD,2,21.091,678608,0,0,2114885947,0,1000000,12643778560,658150,3730954,0,1000000,0,0,0,1719046,36232737,121925,16.50312,47.175926,66.397294,1768.0,1000000,19716978,19.716978,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.295815164924875,0.1499508783569494,0.0,0.0,0.3365050782666515,4
read,Snappy,Snappy,1,20.867,678600,0,0,201724887,0,1000000,12659474432,219891,2672206,0,1000000,0,0,0,2914179,4069768137,200479868,9.283244,50.832027,71.299575,796.0,1000000,19574484,19.574484,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.2942085461767139,0.07603168220153059,0.0,0.0,4.926075915169513,0
write,Snappy,Zlib,1,205.98,0,250961,579596782,2630024822,16407310193,1806052,7289389056,8307136,5395064,7755,1798297,0,0,0,104748457,85258050781,3183367964,2.013612,27.858383,44.965496,1053.0,1806052,14386003,7.965442301772042,8.427429,13.872257,18.192436,3397636.0,1000000,204604063,204.604063,0.19562143741082863,4.059373939389853,0.60626293587891,0.004293896299774314,79654870.34178075,3.733803359142035,5
write,Snappy,Zlib,3,251.382,0,250647,582799400,2794161050,16407310576,1806047,7284326400,6582383,5639556,3778,1802269,0,0,0,109521071,89333834920,3349457628,1.960597,23.997822,45.440049,798.0,1806047,13506835,7.478673035640822,8.403924,13.854018,20.905573,4207485.0,1000000,249943394,249.943394,0.2058204746206055,4.062183985605039,0.5385710892518774,0.0020918613967410593,65268438.37665386,3.7493718152808477,5
write,Snappy,Zlib,2,187.347,0,250324,582735306,2636250077,16407311069,1806116,7277903872,5887314,5210088,3772,1802344,0,0,0,95773948,83380148594,3193305391,2.665865,27.745932,45.201586,793.0,1806116,12663682,7.0115551825021205,8.519034,14.146075,21.455537,3085047.0,1000000,185807323,185.807323,0.1961921346808592,4.065924071606094,0.530512817324271,0.002088459434499224,87577121.96619107,3.8298149437812214,5
write,Snappy,ZSTD,3,226.802,0,250171,579075930,3064465116,16407311368,1805920,7278608384,5255702,5976683,3775,1802145,0,0,0,56868625,96023403936,3613994699,2.224221,13.405911,21.474886,783.0,1805920,7892066,4.370108310445645,8.396168,14.062344,31.633969,3796554.0,1000000,225267342,225.267342,0.2220681356182574,4.06508933013094,0.4679061481599856,0.0020903473022060776,72342004.7794993,3.7636602649586783,6
read,Snappy,Snappy,2,18.913,678674,0,0,3093595,0,1000000,12653805568,1162824,2025128,0,1000000,0,0,0,0,62056292,3072628,9.452199,46.592771,62.517001,787.0,1000000,17727709,17.727709,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.2947883474227886,0.36475580560811455,0.0,0.0,4.951356101005842,0
read,Snappy,Zlib,1,30.8,678559,0,0,3510695,0,1000000,12659523584,738565,2086566,0,1000000,0,0,0,0,127379361,3469842,18.750786,95.811856,108.554649,889.0,1000000,29503313,29.503313,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.2942035212689407,0.26142681525210687,0.0,0.0,2.7240221435872956,5
write,none,ZSTD,1,682.836,0,250330,11290918829,29104514067,16407310841,1805947,7280771072,13562948,3715198,3776,1802171,0,0,0,37821314,18616239425,61045867,6.227114,14.775519,26.273352,775.0,1805947,12449956,6.893865656079608,8.691823,24.819221,50.34257,12123684.0,1000000,681056933,681.056933,2.462038617264227,4.063942590063077,0.7849770455695884,0.002090869776355563,24028186.623142306,0.32791728558250427,4
read,LZ4,ZSTD,2,13.21,679338,0,0,303849,0,1000000,12667895808,1157624,2052167,0,1000000,0,0,0,0,62002442,282904,8.973136,30.064531,33.845636,805.0,1000000,12074341,12.074341,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.2933481809704508,0.3606540114294046,0.0,0.0,0.4562788026961906,2
write,none,ZSTD,2,514.429,0,249848,11291967997,28894184672,16407310872,1806088,7270563840,11909743,3736375,7732,1798356,0,0,0,38428826,18710525490,61398681,5.202868,16.609091,29.960818,765.0,1806088,11980535,6.633417087096531,8.493122,14.267946,30.944811,8180391.0,1000000,512736383,512.736383,2.449283309282567,4.069965747250766,0.7611947577028372,0.004281076005155895,31894218.389709756,0.32815048958841403,4
write,LZ4,ZSTD,2,207.475,0,250001,97793434,473493367,16407310989,1806049,7273709568,4518734,5847149,3775,1802274,0,0,0,42868919,93914789437,542418785,2.032948,9.722648,14.94256,808.0,1806049,6853066,3.794507236514624,8.468938,14.270686,33.157329,3237970.0,1000000,206043462,206.043462,0.034819038987132594,4.068117724438678,0.4359236931383462,0.0020901979957354423,79080906.08025064,0.5775648204629856,2
read,Snappy,Zlib,2,36.895,679262,0,0,1628218,0,1000000,12659359744,1010561,2187687,0,1000000,0,0,0,390020,170278609,1573250,9.771537,135.152753,163.159381,912.0,1000000,35586414,35.586414,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.2942202711132624,0.31597330788606764,0.0,0.0,0.9239269742918795,5
write,LZ4,ZSTD,1,302.003,0,249872,97813333,473931150,16407310892,1805924,7273644032,5739199,5844959,6833,1799091,0,0,0,42065179,93981574340,542854950,2.218857,9.835724,16.209541,147.0,1805924,7516151,4.161942030783134,8.503687,14.408422,30.076649,5892017.0,1000000,300545816,300.545816,0.0348469341968022,4.067872813933163,0.4954351451352787,0.0037836586700215513,54328304.3281027,0.5776184893818623,2
read,Snappy,ZSTD,3,14.997,678869,0,0,1165000,0,1000000,12659146752,1149973,2083542,0,1000000,0,0,0,0,62003804,1144052,9.264612,30.004152,33.463835,813.0,1000000,13928898,13.928898,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.2942420465590634,0.35564177064278346,0.0,0.0,1.8451319535169164,6
