work,hot,cold,trial,time(s),hot_column_key,default_column_key,rocksdb.flush.write.bytes,rocksdb.compact.write.bytes,rocksdb.bytes.written,rocksdb.number.keys.read,rocksdb.bytes.read,rocksdb.block.cache.hit,rocksdb.block.cache.miss,rocksdb.memtable.hit,rocksdb.memtable.miss,rocksdb.db.get.micros,rocksdb.db.write.micros,rocksdb.db.seek.micros,rocksdb.compaction.total.time.cpu_micros,rocksdb.bytes.compressed.from,rocksdb.bytes.compressed.to,get.P50,get.P95,get.P99,get.P100,get.COUNT,get.SUM,get.AVG,write.P50,write.P95,write.P99,write.P100,write.COUNT,write.SUM,write.AVG,WAF,RAF,cache_hit_ratio,memtable_hit_ratio,throughput,compression_ratio,case
write,ZSTD,ZSTD,1,215.989,0,250256,59110061,266389530,16407311946,1806121,7276707840,4620763,5853952,3777,1802344,0,0,0,46993481,94012927221,296601423,2.00461,9.808885,17.122193,800.0,1806121,6963421,3.8554565281063673,8.419907,14.090376,34.585866,3201283.0,1000000,214501770,214.50177,0.019838690948967713,4.066603622772355,0.44113496166721483,0.00209122201668659,75963646.04678942,0.31549004138842207,zstd
read,Snappy,Snappy,1,20.983,679106,0,0,11284192,0,1000000,12665978880,900816,2326121,0,1000000,0,0,0,117649,226474778,11212114,10.932704,49.788358,69.790461,830.0,1000000,19688107,19.688107,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.2935439222838812,0.27915512450351526,0.0,0.0,4.9507119949577785,snappy
read,LZ4,LZ4,3,12.967,678509,0,0,442063,0,1000000,12658835456,1161771,2030310,0,1000000,0,0,0,0,61986262,421126,8.755086,29.7775,33.479661,845.0,1000000,11809587,11.809587,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.2942738735287342,0.36395411018705354,0.0,0.0,0.6793860226641832,lz4
read,Zlib,Zlib,3,44.595,678529,0,0,3575178,0,1000000,12653854720,946497,2179057,0,1000000,0,0,0,2755123,813966804,3324276,20.250963,138.713836,164.138373,893.0,1000000,43271304,43.271304,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.2947833180117307,0.30282535512104414,0.0,0.0,0.4084043702597974,zlib
read,Zlib,Zlib,1,59.309,679155,0,0,791502,0,1000000,12666486784,1251194,2883307,0,1000000,0,0,0,426540,179541720,733717,49.63483,136.344975,163.384182,936.0,1000000,58036462,58.036462,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.2934920534315697,0.30262273488384694,0.0,0.0,0.40866100647804865,zlib
read,Snappy,Snappy,2,18.552,678309,0,0,3089355,0,1000000,12647743488,1206466,2021422,0,1000000,0,0,0,0,61973942,3068413,9.380357,45.6325,58.745987,831.0,1000000,17387750,17.38775,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.2954089411715937,0.37376327803195153,0.0,0.0,4.951134139571112,snappy
read,LZ4,LZ4,1,13.022,679645,0,0,442347,0,1000000,12671156224,1174693,2019593,0,1000000,0,0,0,0,62019153,421400,8.792951,29.873445,33.551465,798.0,1000000,11858636,11.858636,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.2930153894691654,0.36774822292055254,0.0,0.0,0.679467518687332,lz4
write,ZSTD,ZSTD,3,193.977,0,250372,59098541,266456545,16407310918,1806015,7280345088,4578971,5854806,3777,1802238,0,0,0,47262545,94029540110,296651831,1.992202,9.78896,16.279925,778.0,1806015,6951580,3.849126391530525,8.492948,14.54595,43.080026,2757323.0,1000000,192408746,192.408746,0.01984207452562154,4.064333407597945,0.4388603475040726,0.0020913447562727885,84583795.59432304,0.3154879101322449,zstd
read,ZSTD,ZSTD,3,13.242,678965,0,0,229370,0,1000000,12661014528,1162542,2024479,0,1000000,0,0,0,0,62035323,208416,8.830104,30.302283,33.800596,808.0,1000000,12021015,12.021015,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.2940511176072478,0.36477387503879016,0.0,0.0,0.3359634316726295,zstd
write,LZ4,LZ4,3,230.968,0,250238,114564212,533629708,16407310709,1806039,7277756416,4558061,5853549,3774,1802265,0,0,0,41746725,94015582666,619295371,1.969052,9.721859,14.902624,830.0,1806039,6755277,3.7403826827659863,8.472808,14.385077,38.099007,3296950.0,1000000,229507332,229.507332,0.03950640854533475,4.065833106332972,0.4377863750178887,0.002089655871218728,71037159.7320841,0.6587156654659156,lz4
