trial,alpha,preclude,preserve,case,time(s),keys,db_size_bytes,L0_total,L0_Hot,L0_Warm,L0_Cold,L0_Unknown,L1_total,L1_Hot,L1_Warm,L1_Cold,L1_Unknown,L2_total,L2_Hot,L2_Warm,L2_Cold,L2_Unknown,L3_total,L3_Hot,L3_Warm,L3_Cold,L3_Unknown,L4_total,L4_Hot,L4_Warm,L4_Cold,L4_Unknown,L5_total,L5_Hot,L5_Warm,L5_Cold,L5_Unknown,L6_total,L6_Hot,L6_Warm,L6_Cold,L6_Unknown,WAF,throughput,last_level_byte_ratio,last_level_count_ratio,compaction_time(s),compaction_ratio,stall_flush_total(s),Latency,compressed_from,compressed_to,flush_bytes,compact_bytes,write_latency_sum,compaction_latency_sum,cold.read.bytes,cold.read.count,last.level.read.bytes,non.last.level.read.bytes
3,0.9,120,120,100,80.1453,1000000,490190093,3,0,0,0,3,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,2,0,0,0,2,3,0,0,0,3,0,0,0,0,0,1.141602410050897,204741764.47028083,0.0900561310492028,0.0890212744691794,26.965667,0.3365,65.395351,78.007249,46540665295,2311989748,619767064,1703799646,0,54562000,0,0,178011283,1798659055
3,0.9,15,15,20,81.2269,1000000,445166284,4,0,0,0,4,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,2,0,0,0,2,3,0,0,3,0,1.1565532984284168,202015466.99430853,0.2876361568679274,0.2872055021179439,32.185839,0.3962,66.026921,78.985278,51489950820,2556404263,620305599,1948591586,0,61126819,302158466,365908,656939965,1626986966
2,0.9,120,120,100,74.9174,1000000,529706241,5,0,0,0,5,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,2,0,0,0,2,3,0,0,0,3,0,0,0,0,0,1.1397069606541164,219029092.52056265,0.09738190179654742,0.09657558920169856,26.48541,0.3535,61.47776,72.874334,45942118884,2281735990,620601117,1671862993,0,52195696,0,0,190868108,1769127584
1,0.5,0,0,0,89.6692,1000000,655261253,15,0,0,0,15,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,6,0,0,6,0,1.195028474493182,183012033.7529497,0.12863395793175805,0.1274760761335206,36.191711,0.4036,73.683571,87.247336,64058397638,3181678696,813780014,2386743086,0,71185652,336932638,405172,336932638,2282380671
1,0.9,15,15,20,69.0993,1000000,485861920,4,0,0,0,4,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,2,0,0,0,2,2,0,0,2,0,1.150840857078951,237471148.56445724,0.252889366998004,0.252619043430574,29.588557,0.4282,54.779063,66.941579,49607078393,2463144339,619719243,1855441977,0,52174322,170424452,205802,544013787,1607179019
2,1.2,120,120,100,72.172,1000000,226581221,2,0,0,0,2,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1.0598456920178785,227334046.36146984,0.07044869556931059,0.06970492686139156,12.772972,0.177,59.000817,70.328549,19698573251,977583325,235451945,746445468,0,36428644,0,0,63135066,833049959
1,0.5,20,20,20,100.798,1000000,775259920,7,0,0,0,7,1,0,0,0,1,1,0,0,0,1,2,0,0,0,2,2,0,0,0,2,2,0,0,0,2,4,0,0,4,0,1.2213071476616193,162806232.83200064,0.3001904649890233,0.29940580522420274,42.698498,0.4236,84.500331,98.286288,72764396696,3613679313,810412971,2821357416,0,80724078,402641220,487095,921271217,2147684411
3,0.9,40,40,50,86.3098,1000000,425254101,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,2,2,0,0,2,0,1.157573472482021,190118504.92064634,0.22473321303333554,0.22373140238323955,31.601729,0.3661,71.792052,84.07514,51810091141,2573190544,620601240,1965036073,0,62769926,87017088,104344,517266995,1784426591
1,1.2,120,120,100,68.0847,1000000,291311751,11,0,0,0,11,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1.0608335072228376,240981495.0201734,0.11482192721344421,0.11378916363745953,13.360403,0.1962,54.855779,66.221754,19995682630,992478553,235456821,762647827,0,35315133,0,0,106324034,819666642
2,1.2,25,25,50,64.2916,1000000,217187600,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,1,0,1.0725172470774518,255199011.90824306,0.3738287264369408,0.37324634083055186,15.53742,0.2417,50.893545,62.490198,23862270737,1184071451,234949426,954852127,0,36958643,141943020,172856,416172316,697097710
3,1.2,10,10,20,72.1683,1000000,208627154,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,1,0,1.0723290227073385,227345701.5614889,0.28937620382879325,0.2887958076675554,15.827833,0.2193,59.348253,70.343424,23786388393,1180121976,235702076,951011251,0,40924887,146628227,178267,322804319,792713525
3,0.9,0,0,0,75.5422,1000000,471805138,4,0,0,0,4,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,2,0,0,0,2,3,0,0,3,0,1.139101371196222,217217530.54584062,0.10354300371797565,0.10258057903533158,27.301129,0.3614,60.871668,73.321471,45736191687,2270695114,620594435,1661932503,0,53087310,203637198,245204,203637198,1763054811
1,0.9,65,65,80,66.3597,1000000,459920528,2,0,0,0,2,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,2,0,0,0,2,3,0,0,0,3,0,0,0,0,0,1.136134306258649,247274929.4526648,0.096282235684356,0.09498629534728757,26.353643,0.3971,51.757488,64.192492,44740719370,2222502232,619997731,1613842371,0,48042256,0,0,184572383,1732420733
3,0.9,65,65,80,81.0613,1000000,488935702,4,0,0,0,4,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,3,0,0,0,3,0,0,0,0,0,1.1440882697580423,202428164.06842723,0.08921133555049139,0.0880238096296024,27.555144,0.3399,67.010713,78.977339,47380447085,2353440737,619774953,1744582453,0,55813263,0,0,181748291,1855529706
1,0.5,80,80,80,66.4617,1000000,863567522,9,0,0,0,9,1,0,0,0,1,1,0,0,0,1,2,0,0,0,2,3,0,0,0,3,4,0,0,0,4,0,0,0,0,0,1.179023430998294,246917287.0540477,0.0638101393010434,0.06255639703223088,31.946739,0.4807,52.209387,64.093152,58828158546,2924083673,810508310,2127363341,0,50993593,0,0,146395327,2147837668
2,1.2,0,0,0,68.1547,1000000,223512976,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,1,0,1.0578990595094229,240733988.91052267,0.07246682256692288,0.07197253919376623,12.81256,0.188,54.564931,66.230397,19039864411,944623951,235695390,714263326,0,34118840,62616097,75776,62616097,801449620
3,1.2,120,120,100,50.7281,1000000,235118241,3,0,0,0,3,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1.0557820981184922,323433221.31126535,0.07262077115875946,0.07192841973331476,11.80513,0.2327,36.988359,48.855874,18343454472,910406918,235198466,680026941,0,25896194,0,0,59926782,765274893
1,1.2,10,10,20,71.6377,1000000,223537236,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,1,0,1.0696632425107895,229029586.29325065,0.24817803055385895,0.24792707640425105,15.73945,0.2197,58.010081,69.700369,22921189095,1137233672,235210965,907764499,0,40189778,97759546,118864,263301487,797636447
2,0.5,50,50,50,96.2382,1000000,767770112,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,2,4,0,0,0,4,3,0,0,3,0,1.2182178277616234,170520049.80350837,0.28279838894690396,0.2820382188401274,42.075325,0.4372,81.718556,93.902719,71742264022,3563701606,810418356,2770654615,0,76658179,133724822,160610,858913360,2178279897
1,0.5,120,120,100,66.5402,1000000,741886993,13,0,0,0,13,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,2,0,0,0,2,6,0,0,0,6,0,0,0,0,0,1.1819559526099102,246625989.35680988,0.1490796743588408,0.14740268833458361,33.051157,0.4967,51.802798,64.24166,59799960273,2972051525,810482490,2175513432,0,54286268,0,0,359016254,2049201067
1,0.5,50,50,50,68.2447,1000000,816459163,5,0,0,0,5,1,0,0,0,1,2,0,0,0,2,2,0,0,0,2,3,0,0,0,3,4,0,0,0,4,0,0,0,0,0,1.1756037390860303,240466185.02242666,0.06365453080416032,0.062445300469712715,31.349235,0.4594,53.878359,65.851186,57684532897,2867293594,810473550,2071279101,0,52632289,0,0,141014680,2074297855
1,0.9,0,0,0,56.0553,1000000,442607665,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,4,0,0,4,0,1.133635044284944,292730395.44878006,0.1036871976684486,0.10246574129380878,25.876321,0.4616,41.942264,53.856583,43954473535,2182117267,620309435,1572520052,0,43615519,196504481,236045,196504481,1698661802
2,0.9,0,0,0,59.5546,1000000,547019144,7,0,0,0,7,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,2,0,0,0,2,3,0,0,3,0,1.133066126512988,275530188.0291363,0.09749186890772678,0.09674476816899158,25.112105,0.4217,45.33863,57.481223,43773355015,2172681355,620594438,1562899626,0,41692923,178685874,215510,178685874,1654142607
1,1.2,0,0,0,69.9704,1000000,221859805,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,1,0,1.0584329974272317,234487051.58181176,0.07258521725618697,0.07209255410483648,12.979901,0.1855,56.623418,68.083305,19219131598,953524648,235695397,723023720,0,34974454,63481300,76833,63481300,811094852
2,0.5,120,120,100,74.7417,1000000,718693060,5,0,0,0,5,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,2,0,0,0,2,6,0,0,0,6,0,0,0,0,0,1.190743312114959,219563411.8169643,0.1503029055849256,0.1486934438453227,35.291634,0.4722,60.221912,72.441508,62668775999,3114822102,810508226,2319693034,0,57372076,0,0,384863615,2175723045
2,0.5,0,0,0,94.5538,1000000,734675774,4,0,0,0,4,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,2,0,0,0,2,6,0,0,6,0,1.198810027260636,173557727.52655104,0.12191568350268696,0.12068694916373476,37.554767,0.3972,78.489013,92.122487,65343754345,3245575368,810458613,2452121820,0,72154039,327096126,392938,327096126,2355873912
3,0.5,20,20,20,93.5284,1000000,818805517,6,0,0,0,6,0,0,0,0,0,1,0,0,0,1,2,0,0,0,2,3,0,0,0,3,3,0,0,0,3,4,0,0,4,0,1.213589294349439,175460530.24535862,0.21560600573675326,0.21525815047200428,40.579383,0.4339,78.678092,91.071974,70209996041,3487543958,810508380,2694607846,0,74913557,197487861,237131,623980619,2270097479
1,0.9,40,40,50,65.5292,1000000,479577568,3,0,0,0,3,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,2,0,0,0,2,3,0,0,0,3,0,0,0,0,0,1.1364828079094171,250408827.4540205,0.08536777528477849,0.08420220265094233,26.299266,0.4013,51.226521,63.447288,44861108380,2228346506,620011515,1619547182,0,46835432,0,0,163316777,1749779546
3,0.5,80,80,80,86.7876,1000000,744532324,4,0,0,0,4,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,2,0,0,0,2,6,0,0,0,6,0,0,0,0,0,1.190121577586537,189088563.99992627,0.11585423904778762,0.11420606478805793,35.792873,0.4124,72.273975,84.594336,62476780875,3105151232,810508356,2309489903,0,68179348,0,0,294004790,2243708050
3,0.5,50,50,50,88.8407,1000000,981680731,16,0,0,0,16,1,0,0,0,1,2,0,0,0,2,2,0,0,0,2,3,0,0,0,3,4,0,0,0,4,0,0,0,0,0,1.1946268348802964,184718745.54117653,0.10301834606659911,0.1027234395217509,36.153577,0.4069,74.358117,86.494571,63909299396,3175978913,813743995,2380187981,0,62533688,0,0,270581589,2355956298
1,1.2,40,40,80,65.1968,1000000,269038403,6,0,0,0,6,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,1,0,1.0706069173332524,251655798.96559343,0.360721934167625,0.3605433508722669,15.148314,0.2323,51.843285,63.309799,23251634730,1153659246,235443682,923014799,0,35382785,83716481,102251,387813059,687289457
