trial,alpha,preclude,preserve,temp,time(s),keys,db_size_bytes,L0_total,L0_Hot,L0_Warm,L0_Cold,L0_Unknown,L1_total,L1_Hot,L1_Warm,L1_Cold,L1_Unknown,L2_total,L2_Hot,L2_Warm,L2_Cold,L2_Unknown,L3_total,L3_Hot,L3_Warm,L3_Cold,L3_Unknown,L4_total,L4_Hot,L4_Warm,L4_Cold,L4_Unknown,L5_total,L5_Hot,L5_Warm,L5_Cold,L5_Unknown,L6_total,L6_Hot,L6_Warm,L6_Cold,L6_Unknown,rocksdb.flush.write.bytes,rocksdb.compact.write.bytes,rocksdb.bytes.written,rocksdb.compaction.total.time.cpu_micros,rocksdb.bytes.compressed.from,rocksdb.bytes.compressed.to,rocksdb.wal.bytes,rocksdb.stall.micros,rocksdb.memtable.payload.bytes.at.flush,rocksdb.memtable.garbage.bytes.at.flush,rocksdb.last.level.read.bytes,rocksdb.last.level.read.count,rocksdb.non.last.level.read.bytes,rocksdb.non.last.level.read.count,write.P50,write.P95,write.P99,write.P100,write.COUNT,write.SUM,write.AVG
3,0.9,120,120,cold,80.1453,1000000,490190093,3,0,0,0,3,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,2,0,0,0,2,3,0,0,0,3,0,0,0,0,0,619767064,1703799646,16409090136,26965667,46540665295,2311989748,16409090136,65395351,16272153227,3897962679,178011283,213761,1798659055,2187474,9.981431,19.140115,30.754212,1166823.0,1000000,78007249,78.007249
3,0.9,15,15,cold,81.2269,1000000,445166284,4,0,0,0,4,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,2,0,0,0,2,3,0,0,3,0,620305599,1948591586,16409090136,32185839,51489950820,2556404263,16409090136,66026921,16272153227,3887204988,656939965,797769,1626986966,1979925,9.825643,20.024498,53.498608,1240045.0,1000000,78985278,78.985278
2,0.9,120,120,cold,74.9174,1000000,529706241,5,0,0,0,5,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,2,0,0,0,2,3,0,0,0,3,0,0,0,0,0,620601117,1671862993,16409090136,26485410,45942118884,2281735990,16409090136,61477760,16272153227,3881301358,190868108,230022,1769127584,2151760,8.920343,14.8938,28.061768,877218.0,1000000,72874334,72.874334
1,0.5,0,0,cold,89.6692,1000000,655261253,15,0,0,0,15,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,6,0,0,6,0,813780014,2386743086,16410542657,36191711,64058397638,3181678696,16410542657,73683571,16339479239,106416754,336932638,405172,2282380671,2773244,9.752324,20.047564,64.238527,1000505.0,1000000,87247336,87.247336
1,0.9,15,15,cold,69.0993,1000000,485861920,4,0,0,0,4,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,2,0,0,0,2,2,0,0,2,0,619719243,1855441977,16409090136,29588557,49607078393,2463144339,16409090136,54779063,16272153227,3898913852,544013787,660570,1607179019,1954316,9.443313,19.10581,39.457963,1545619.0,1000000,66941579,66.941579
2,1.2,120,120,cold,72.172,1000000,226581221,2,0,0,0,2,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,235451945,746445468,16407152794,12772972,19698573251,977583325,16407152794,59000817,16270230905,11566890722,63135066,76106,833049959,1015725,9.007107,17.973036,30.336723,934197.0,1000000,70328549,70.328549
1,0.5,20,20,cold,100.798,1000000,775259920,7,0,0,0,7,1,0,0,0,1,1,0,0,0,1,2,0,0,0,2,2,0,0,0,2,2,0,0,0,2,4,0,0,4,0,810412971,2821357416,16410542657,42698498,72764396696,3613679313,16410542657,84500331,16273594301,107761563,921271217,1115954,2147684411,2611275,10.30827,20.543086,1259.136646,1237233.0,1000000,98286288,98.286288
3,0.9,40,40,cold,86.3098,1000000,425254101,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,2,2,0,0,2,0,620601240,1965036073,16409090136,31601729,51810091141,2573190544,16409090136,71792052,16272153227,3881301358,517266995,626047,1784426591,2172161,9.633992,18.767742,40.772085,1538023.0,1000000,84075140,84.07514
1,1.2,120,120,cold,68.0847,1000000,291311751,11,0,0,0,11,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,235456821,762647827,16407152794,13360403,19995682630,992478553,16407152794,54855779,16270230905,11566792323,106324034,128375,819666642,999808,9.141868,18.177456,31.613937,759635.0,1000000,66221754,66.221754
2,1.2,25,25,cold,64.2916,1000000,217187600,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,1,0,234949426,954852127,16407152794,15537420,23862270737,1184071451,16407152794,50893545,16270230905,11576910334,416172316,506343,697097710,850249,9.042218,17.432672,30.955119,1202317.0,1000000,62490198,62.490198
3,1.2,10,10,cold,72.1683,1000000,208627154,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,1,0,235702076,951011251,16407152794,15827833,23786388393,1180121976,16407152794,59348253,16270230905,11561905505,322804319,392654,792713525,966971,8.858123,15.217184,29.110918,940490.0,1000000,70343424,70.343424
3,0.9,0,0,cold,75.5422,1000000,471805138,4,0,0,0,4,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,2,0,0,0,2,3,0,0,3,0,620594435,1661932503,16409090136,27301129,45736191687,2270695114,16409090136,60871668,16272153227,3881301358,203637198,245204,1763054811,2145151,9.955305,19.746082,33.856424,878496.0,1000000,73321471,73.321471
1,0.9,65,65,cold,66.3597,1000000,459920528,2,0,0,0,2,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,2,0,0,0,2,3,0,0,0,3,0,0,0,0,0,619997731,1613842371,16409090136,26353643,44740719370,2222502232,16409090136,51757488,16272153227,3893354617,184572383,221236,1732420733,2107900,10.338799,20.017609,32.464727,758594.0,1000000,64192492,64.192492
3,0.9,65,65,cold,81.0613,1000000,488935702,4,0,0,0,4,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,3,0,0,0,3,0,0,0,0,0,619774953,1744582453,16409090136,27555144,47380447085,2353440737,16409090136,67010713,16272153227,3897798710,181748291,217915,1855529706,2257722,9.311571,16.889798,30.824866,1160154.0,1000000,78977339,78.977339
1,0.5,80,80,cold,66.4617,1000000,863567522,9,0,0,0,9,1,0,0,0,1,1,0,0,0,1,2,0,0,0,2,3,0,0,0,3,4,0,0,0,4,0,0,0,0,0,810508310,2127363341,16410542657,31946739,58828158546,2924083673,16410542657,52209387,16273594301,105924778,146395327,174008,2147837668,2607610,9.713096,18.30893,32.561768,1138403.0,1000000,64093152,64.093152
2,1.2,0,0,cold,68.1547,1000000,223512976,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,1,0,235695390,714263326,16407152794,12812560,19039864411,944623951,16407152794,54564931,16270230905,11561905505,62616097,75776,801449620,977070,9.324772,18.802097,32.083433,780466.0,1000000,66230397,66.230397
3,1.2,120,120,cold,50.7281,1000000,235118241,3,0,0,0,3,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,235198466,680026941,16407152794,11805130,18343454472,910406918,16407152794,36988359,16270230905,11571941527,59926782,72310,765274893,932995,9.307671,19.474015,32.607369,1097354.0,1000000,48855874,48.855874
1,1.2,10,10,cold,71.6377,1000000,223537236,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,1,0,235210965,907764499,16407152794,15739450,22921189095,1137233672,16407152794,58010081,16270230905,11571695541,263301487,320535,797636447,972325,9.182701,17.529015,30.243424,919309.0,1000000,69700369,69.700369
2,0.5,50,50,cold,96.2382,1000000,767770112,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,2,4,0,0,0,4,3,0,0,3,0,810418356,2770654615,16410542657,42075325,71742264022,3563701606,16410542657,81718556,16273594301,107679567,858913360,1040208,2178279897,2647973,9.220213,18.536846,1032.319835,1059524.0,1000000,93902719,93.902719
1,0.5,120,120,cold,66.5402,1000000,741886993,13,0,0,0,13,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,2,0,0,0,2,6,0,0,0,6,0,0,0,0,0,810482490,2175513432,16410542657,33051157,59799960273,2972051525,16410542657,51802798,16273594301,106416783,359016254,430518,2049201067,2490175,9.617762,18.795899,38.345197,1353975.0,1000000,64241660,64.24166
1,0.5,50,50,cold,68.2447,1000000,816459163,5,0,0,0,5,1,0,0,0,1,2,0,0,0,2,2,0,0,0,2,3,0,0,0,3,4,0,0,0,4,0,0,0,0,0,810473550,2071279101,16410542657,31349235,57684532897,2867293594,16410542657,53878359,16273594301,106597176,141014680,167602,2074297855,2516379,9.638381,19.217832,31.762126,1096774.0,1000000,65851186,65.851186
1,0.9,0,0,cold,56.0553,1000000,442607665,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,4,0,0,4,0,620309435,1572520052,16409090136,25876321,43954473535,2182117267,16409090136,41942264,16272153227,3886991812,196504481,236045,1698661802,2067603,9.448163,18.741432,31.412728,849527.0,1000000,53856583,53.856583
2,0.9,0,0,cold,59.5546,1000000,547019144,7,0,0,0,7,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,2,0,0,0,2,3,0,0,3,0,620594438,1562899626,16409090136,25112105,43773355015,2172681355,16409090136,45338630,16272153227,3881301358,178685874,215510,1654142607,2012104,9.527455,18.41531,31.750885,1418906.0,1000000,57481223,57.481223
1,1.2,0,0,cold,69.9704,1000000,221859805,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,1,0,235695397,723023720,16407152794,12979901,19219131598,953524648,16407152794,56623418,16270230905,11561905505,63481300,76833,811094852,988922,9.173691,18.384745,30.659013,915259.0,1000000,68083305,68.083305
2,0.5,120,120,cold,74.7417,1000000,718693060,5,0,0,0,5,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,2,0,0,0,2,6,0,0,0,6,0,0,0,0,0,810508226,2319693034,16410542657,35291634,62668775999,3114822102,16410542657,60221912,16273594301,105924778,384863615,461846,2175723045,2644182,9.612384,19.138693,45.925743,847290.0,1000000,72441508,72.441508
